age,bmi,goal,recommendation
56,35.09942448502244,0,"🏠 7-DAY HOME WORKOUT PLAN (No Equipment):
• Mon: Full Body HIIT Burn (4 Rounds: 45s work, 15s rest) - Jumping Jacks, Squats, Push-ups, Mountain Climbers, Plank.
• Tue: Core & Cardio - 30 min brisk walk/jog + 3 sets of 15 Crunches, 20 Bicycle Crunches, 45s Flutter Kicks.
• Wed: Lower Body Intervals (4 Rounds: 40s work, 20s rest) - Lunges, Sumo Squats, Glute Bridges, Skater Hops.
• Thu: Active Recovery - 20 mins of full-body dynamic stretching or yoga.
• Fri: Upper Body Focus (4 Rounds: 45s work, 15s rest) - Pike Push-ups, Standard Push-ups, Chair Dips, Superman Holds.
• Sat: Weekend Fat Burner (5 Rounds fast) - 15 Burpees, 20 Jump Squats, 15 Diamond Push-ups, 1 min Plank.
• Sun: Complete Rest & Hydration Day.

🥗 MON-TO-SUN CALORIC DEFICIT DIET PLAN:
• Mon-Wed:
  - Breakfast: 3 Scrambled Egg Whites + 1 Whole Egg + ½ cup Oatmeal.
  - Lunch: 150g Grilled Chicken Breast/Tofu + Large Green Salad with lemon dressing.
  - Snack: 1 cup low-fat Greek yogurt or 1 scoop protein shake + 10 almonds.
  - Dinner: 150g Grilled Fish/Paneer + 1 cup steamed broccoli + ½ cup brown rice.
• Thu (Low Carb):
  - Breakfast: Protein smoothie (1 scoop protein, 1 cup spinach, ½ banana, almond milk).
  - Lunch: 1 cup boiled Chickpea salad with onions, tomatoes, cucumber, and lime.
  - Snack: 1 sliced cucumber + 2 tbsp hummus.
  - Dinner: Massive vegetable stir-fry + 150g shredded chicken breast or paneer.
• Fri-Sat:
  - Breakfast: 2 slices whole-wheat toast + ½ mashed avocado + 2 boiled eggs.
  - Lunch: Lentil Soup (Daal) + 150g grilled chicken breast/soy chunks + raw veggies.
  - Snack: 1 medium apple + 1 cup green tea.
  - Dinner: 150g Baked Fish/Tofu + stir-fried bell peppers/mushrooms + ½ cup quinoa.
• Sun:
  - Breakfast: Oatmeal pancake (½ cup oats blended with 3 egg whites and ½ banana).
  - Lunch: Leftover chicken/paneer/tofu stir-fry paired with a large side salad.
  - Snack: Handful of roasted makhana (fox nuts) or walnuts.
  - Dinner: Light clear vegetable soup with 100g chunks of lean chicken or tofu."
46,28.460037259519687,2,"🏠 7-DAY HOME WORKOUT PLAN (Cardiovascular Endurance):
• Mon: Aerobic Stamina - 40 minutes continuous jumping jacks, shadow boxing, and high knees at a steady, moderate pace.
• Tue: Speed Intervals - 8 rounds: 1 minute maximum speed running-on-spot/burpees, 1 minute slow walk recovery.
• Wed: Muscular Endurance Circuit - 4 rounds of 20 reps: Squats, Lunges, Pushups, Mountain Climbers (minimal rest).
• Thu: Complete Rest & Muscle Length Restoration Stretching.
• Fri: Tempo Pace Day - 30 mins continuous high-tempo bodyweight pacing (keep heart rate sustained at ~150 BPM).
• Sat: Core Stamina & Agility - 45s Plank, 45s Side Plank, 45s Bird-Dog, 45s Skater Hops (Repeat for 4 rounds).
• Sun: Active Long Distance Walk (45-60 mins outside).

🥗 MON-TO-SUN CARB-SUSTAINED DIET PLAN:
• Mon-Wed:
  - Breakfast: 1.5 cups Oatmeal + 1 sliced Banana + 1 tbsp Flaxseeds + 2 boiled egg whites.
  - Lunch: 1.5 cups Boiled Brown Rice + 1 cup Chickpea/Lentil Curry + Spinach Salad.
  - Snack: 1 Whole Apple + 2 tbsp Peanut butter on rice cakes.
  - Dinner: 150g Baked Salmon/Tofu + 1.5 cups Mashed Sweet Potatoes + Asparagus.
• Thu-Sat:
  - Breakfast: Fruit smoothie (Mango/Berry) with 1 scoop protein powder, rolled oats, and chia seeds.
  - Lunch: Whole wheat pasta/Quinoa salad loaded with bell peppers, broccoli, and 150g shredded chicken/paneer.
  - Snack: 1 cup Boiled Sprouts with chaat masala and lime.
  - Dinner: 150g Grilled Chicken Breast or Soya Chunks + 1 cup boiled corn and peas + 2 Whole Wheat Chapatis.
• Sun:
  - Breakfast: 3 Egg Veggie Omelet + 2 slices of toasted brown bread.
  - Lunch: Vegetable Biryani/Pulav cooked with high soy-chunks or paneer cubes + 1 bowl Raita.
  - Snack: Handful of roasted Fox nuts (Makhana) + Green tea.
  - Dinner: Vegetable and lentil hot soup stew with 1 slice of artisanal whole grain bread."
32,31.541379377013538,0,"🏠 7-DAY HOME WORKOUT PLAN (No Equipment):
• Mon: Full Body HIIT Burn (4 Rounds: 45s work, 15s rest) - Jumping Jacks, Squats, Push-ups, Mountain Climbers, Plank.
• Tue: Core & Cardio - 30 min brisk walk/jog + 3 sets of 15 Crunches, 20 Bicycle Crunches, 45s Flutter Kicks.
• Wed: Lower Body Intervals (4 Rounds: 40s work, 20s rest) - Lunges, Sumo Squats, Glute Bridges, Skater Hops.
• Thu: Active Recovery - 20 mins of full-body dynamic stretching or yoga.
• Fri: Upper Body Focus (4 Rounds: 45s work, 15s rest) - Pike Push-ups, Standard Push-ups, Chair Dips, Superman Holds.
• Sat: Weekend Fat Burner (5 Rounds fast) - 15 Burpees, 20 Jump Squats, 15 Diamond Push-ups, 1 min Plank.
• Sun: Complete Rest & Hydration Day.

🥗 MON-TO-SUN CALORIC DEFICIT DIET PLAN:
• Mon-Wed:
  - Breakfast: 3 Scrambled Egg Whites + 1 Whole Egg + ½ cup Oatmeal.
  - Lunch: 150g Grilled Chicken Breast/Tofu + Large Green Salad with lemon dressing.
  - Snack: 1 cup low-fat Greek yogurt or 1 scoop protein shake + 10 almonds.
  - Dinner: 150g Grilled Fish/Paneer + 1 cup steamed broccoli + ½ cup brown rice.
• Thu (Low Carb):
  - Breakfast: Protein smoothie (1 scoop protein, 1 cup spinach, ½ banana, almond milk).
  - Lunch: 1 cup boiled Chickpea salad with onions, tomatoes, cucumber, and lime.
  - Snack: 1 sliced cucumber + 2 tbsp hummus.
  - Dinner: Massive vegetable stir-fry + 150g shredded chicken breast or paneer.
• Fri-Sat:
  - Breakfast: 2 slices whole-wheat toast + ½ mashed avocado + 2 boiled eggs.
  - Lunch: Lentil Soup (Daal) + 150g grilled chicken breast/soy chunks + raw veggies.
  - Snack: 1 medium apple + 1 cup green tea.
  - Dinner: 150g Baked Fish/Tofu + stir-fried bell peppers/mushrooms + ½ cup quinoa.
• Sun:
  - Breakfast: Oatmeal pancake (½ cup oats blended with 3 egg whites and ½ banana).
  - Lunch: Leftover chicken/paneer/tofu stir-fry paired with a large side salad.
  - Snack: Handful of roasted makhana (fox nuts) or walnuts.
  - Dinner: Light clear vegetable soup with 100g chunks of lean chicken or tofu."
60,33.446394172663126,2,"🏠 7-DAY HOME WORKOUT PLAN (Cardiovascular Endurance):
• Mon: Aerobic Stamina - 40 minutes continuous jumping jacks, shadow boxing, and high knees at a steady, moderate pace.
• Tue: Speed Intervals - 8 rounds: 1 minute maximum speed running-on-spot/burpees, 1 minute slow walk recovery.
• Wed: Muscular Endurance Circuit - 4 rounds of 20 reps: Squats, Lunges, Pushups, Mountain Climbers (minimal rest).
• Thu: Complete Rest & Muscle Length Restoration Stretching.
• Fri: Tempo Pace Day - 30 mins continuous high-tempo bodyweight pacing (keep heart rate sustained at ~150 BPM).
• Sat: Core Stamina & Agility - 45s Plank, 45s Side Plank, 45s Bird-Dog, 45s Skater Hops (Repeat for 4 rounds).
• Sun: Active Long Distance Walk (45-60 mins outside).

🥗 MON-TO-SUN CARB-SUSTAINED DIET PLAN:
• Mon-Wed:
  - Breakfast: 1.5 cups Oatmeal + 1 sliced Banana + 1 tbsp Flaxseeds + 2 boiled egg whites.
  - Lunch: 1.5 cups Boiled Brown Rice + 1 cup Chickpea/Lentil Curry + Spinach Salad.
  - Snack: 1 Whole Apple + 2 tbsp Peanut butter on rice cakes.
  - Dinner: 150g Baked Salmon/Tofu + 1.5 cups Mashed Sweet Potatoes + Asparagus.
• Thu-Sat:
  - Breakfast: Fruit smoothie (Mango/Berry) with 1 scoop protein powder, rolled oats, and chia seeds.
  - Lunch: Whole wheat pasta/Quinoa salad loaded with bell peppers, broccoli, and 150g shredded chicken/paneer.
  - Snack: 1 cup Boiled Sprouts with chaat masala and lime.
  - Dinner: 150g Grilled Chicken Breast or Soya Chunks + 1 cup boiled corn and peas + 2 Whole Wheat Chapatis.
• Sun:
  - Breakfast: 3 Egg Veggie Omelet + 2 slices of toasted brown bread.
  - Lunch: Vegetable Biryani/Pulav cooked with high soy-chunks or paneer cubes + 1 bowl Raita.
  - Snack: Handful of roasted Fox nuts (Makhana) + Green tea.
  - Dinner: Vegetable and lentil hot soup stew with 1 slice of artisanal whole grain bread."
25,28.004202746968296,1,"🏠 7-DAY HOME WORKOUT PLAN (Muscle Hypertrophy):
• Mon: Push Day (Chest/Shoulders/Triceps) - Decline Push-ups, Pike Push-ups, Chair Dips, Diamond Push-ups (3 sets x 12-15 reps).
• Tue: Pull Day (Back/Biceps) - Doorframe Rows, Bed-sheet Pullups, Superman Extensions, Towel Bicep Curls (3 sets x 15 reps).
• Wed: Leg Day (Quadriceps/Glutes) - Bulgarians Split Squats, Calf Raises, Walking Lunges, Wall Sits (4 sets x 15 reps).
• Thu: Active Recovery - Light stretching and core work.
• Fri: Full Body Strength Overload - Standard Push-ups, Bodyweight Squats, Pike Push-ups, Glute Bridges.
• Sat: Core & Arm Definition - Plank-to-Pushups, Bicycle Crunches, Chair Dips, Plank Holds.
• Sun: Complete Rest Day for Muscle Repair.

🥗 MON-TO-SUN CALORIC SURPLUS DIET PLAN:
• Mon-Wed:
  - Breakfast: 3 Whole Eggs + 2 slices Whole Wheat Toast + 1 Banana with 2 tbsp Peanut Butter.
  - Lunch: 200g Grilled Chicken/Paneer + 1.5 cups Boiled White Rice + 1 cup Dal.
  - Snack: 1 cup Milk/Soy Milk + 1 scoop Whey Protein + 1 cup Oats blended.
  - Dinner: 150g Fish or Tofu + 1 large Sweet Potato + Stir-fried veggies.
• Thu-Sat:
  - Breakfast: 1.5 cups Oatmeal cooked in milk + 1 tbsp honey + 15 chopped almonds.
  - Lunch: 200g Fish or Mixed Bean Curry + 1.5 cups Brown Rice + 1 cup Curd.
  - Snack: 2 boiled eggs (or 100g roasted paneer) + 1 cup Sprouts salad.
  - Dinner: 200g Lean Chicken Breast or Soya Chunks + 2 Chapatis + Mixed vegetable sabzi.
• Sun:
  - Breakfast: Paneer Bhurji (150g) with 2 multi-grain Rotis.
  - Lunch: Heavy Rice and Lentil Bowl (Khichdi) topped with 1 tbsp ghee + 150g chicken or tofu side.
  - Snack: Handful of mixed dry fruits (cashews, raisins, walnuts).
  - Dinner: High-protein paneer or chicken roll wrap using whole wheat flatbread."
38,25.67042641637161,2,"🏠 7-DAY HOME WORKOUT PLAN (Cardiovascular Endurance):
• Mon: Aerobic Stamina - 40 minutes continuous jumping jacks, shadow boxing, and high knees at a steady, moderate pace.
• Tue: Speed Intervals - 8 rounds: 1 minute maximum speed running-on-spot/burpees, 1 minute slow walk recovery.
• Wed: Muscular Endurance Circuit - 4 rounds of 20 reps: Squats, Lunges, Pushups, Mountain Climbers (minimal rest).
• Thu: Complete Rest & Muscle Length Restoration Stretching.
• Fri: Tempo Pace Day - 30 mins continuous high-tempo bodyweight pacing (keep heart rate sustained at ~150 BPM).
• Sat: Core Stamina & Agility - 45s Plank, 45s Side Plank, 45s Bird-Dog, 45s Skater Hops (Repeat for 4 rounds).
• Sun: Active Long Distance Walk (45-60 mins outside).

🥗 MON-TO-SUN CARB-SUSTAINED DIET PLAN:
• Mon-Wed:
  - Breakfast: 1.5 cups Oatmeal + 1 sliced Banana + 1 tbsp Flaxseeds + 2 boiled egg whites.
  - Lunch: 1.5 cups Boiled Brown Rice + 1 cup Chickpea/Lentil Curry + Spinach Salad.
  - Snack: 1 Whole Apple + 2 tbsp Peanut butter on rice cakes.
  - Dinner: 150g Baked Salmon/Tofu + 1.5 cups Mashed Sweet Potatoes + Asparagus.
• Thu-Sat:
  - Breakfast: Fruit smoothie (Mango/Berry) with 1 scoop protein powder, rolled oats, and chia seeds.
  - Lunch: Whole wheat pasta/Quinoa salad loaded with bell peppers, broccoli, and 150g shredded chicken/paneer.
  - Snack: 1 cup Boiled Sprouts with chaat masala and lime.
  - Dinner: 150g Grilled Chicken Breast or Soya Chunks + 1 cup boiled corn and peas + 2 Whole Wheat Chapatis.
• Sun:
  - Breakfast: 3 Egg Veggie Omelet + 2 slices of toasted brown bread.
  - Lunch: Vegetable Biryani/Pulav cooked with high soy-chunks or paneer cubes + 1 bowl Raita.
  - Snack: Handful of roasted Fox nuts (Makhana) + Green tea.
  - Dinner: Vegetable and lentil hot soup stew with 1 slice of artisanal whole grain bread."
56,36.91663444656123,2,"🏠 7-DAY HOME WORKOUT PLAN (Cardiovascular Endurance):
• Mon: Aerobic Stamina - 40 minutes continuous jumping jacks, shadow boxing, and high knees at a steady, moderate pace.
• Tue: Speed Intervals - 8 rounds: 1 minute maximum speed running-on-spot/burpees, 1 minute slow walk recovery.
• Wed: Muscular Endurance Circuit - 4 rounds of 20 reps: Squats, Lunges, Pushups, Mountain Climbers (minimal rest).
• Thu: Complete Rest & Muscle Length Restoration Stretching.
• Fri: Tempo Pace Day - 30 mins continuous high-tempo bodyweight pacing (keep heart rate sustained at ~150 BPM).
• Sat: Core Stamina & Agility - 45s Plank, 45s Side Plank, 45s Bird-Dog, 45s Skater Hops (Repeat for 4 rounds).
• Sun: Active Long Distance Walk (45-60 mins outside).

🥗 MON-TO-SUN CARB-SUSTAINED DIET PLAN:
• Mon-Wed:
  - Breakfast: 1.5 cups Oatmeal + 1 sliced Banana + 1 tbsp Flaxseeds + 2 boiled egg whites.
  - Lunch: 1.5 cups Boiled Brown Rice + 1 cup Chickpea/Lentil Curry + Spinach Salad.
  - Snack: 1 Whole Apple + 2 tbsp Peanut butter on rice cakes.
  - Dinner: 150g Baked Salmon/Tofu + 1.5 cups Mashed Sweet Potatoes + Asparagus.
• Thu-Sat:
  - Breakfast: Fruit smoothie (Mango/Berry) with 1 scoop protein powder, rolled oats, and chia seeds.
  - Lunch: Whole wheat pasta/Quinoa salad loaded with bell peppers, broccoli, and 150g shredded chicken/paneer.
  - Snack: 1 cup Boiled Sprouts with chaat masala and lime.
  - Dinner: 150g Grilled Chicken Breast or Soya Chunks + 1 cup boiled corn and peas + 2 Whole Wheat Chapatis.
• Sun:
  - Breakfast: 3 Egg Veggie Omelet + 2 slices of toasted brown bread.
  - Lunch: Vegetable Biryani/Pulav cooked with high soy-chunks or paneer cubes + 1 bowl Raita.
  - Snack: Handful of roasted Fox nuts (Makhana) + Green tea.
  - Dinner: Vegetable and lentil hot soup stew with 1 slice of artisanal whole grain bread."
36,25.437652100697303,0,"🏠 7-DAY HOME WORKOUT PLAN (No Equipment):
• Mon: Full Body HIIT Burn (4 Rounds: 45s work, 15s rest) - Jumping Jacks, Squats, Push-ups, Mountain Climbers, Plank.
• Tue: Core & Cardio - 30 min brisk walk/jog + 3 sets of 15 Crunches, 20 Bicycle Crunches, 45s Flutter Kicks.
• Wed: Lower Body Intervals (4 Rounds: 40s work, 20s rest) - Lunges, Sumo Squats, Glute Bridges, Skater Hops.
• Thu: Active Recovery - 20 mins of full-body dynamic stretching or yoga.
• Fri: Upper Body Focus (4 Rounds: 45s work, 15s rest) - Pike Push-ups, Standard Push-ups, Chair Dips, Superman Holds.
• Sat: Weekend Fat Burner (5 Rounds fast) - 15 Burpees, 20 Jump Squats, 15 Diamond Push-ups, 1 min Plank.
• Sun: Complete Rest & Hydration Day.

🥗 MON-TO-SUN CALORIC DEFICIT DIET PLAN:
• Mon-Wed:
  - Breakfast: 3 Scrambled Egg Whites + 1 Whole Egg + ½ cup Oatmeal.
  - Lunch: 150g Grilled Chicken Breast/Tofu + Large Green Salad with lemon dressing.
  - Snack: 1 cup low-fat Greek yogurt or 1 scoop protein shake + 10 almonds.
  - Dinner: 150g Grilled Fish/Paneer + 1 cup steamed broccoli + ½ cup brown rice.
• Thu (Low Carb):
  - Breakfast: Protein smoothie (1 scoop protein, 1 cup spinach, ½ banana, almond milk).
  - Lunch: 1 cup boiled Chickpea salad with onions, tomatoes, cucumber, and lime.
  - Snack: 1 sliced cucumber + 2 tbsp hummus.
  - Dinner: Massive vegetable stir-fry + 150g shredded chicken breast or paneer.
• Fri-Sat:
  - Breakfast: 2 slices whole-wheat toast + ½ mashed avocado + 2 boiled eggs.
  - Lunch: Lentil Soup (Daal) + 150g grilled chicken breast/soy chunks + raw veggies.
  - Snack: 1 medium apple + 1 cup green tea.
  - Dinner: 150g Baked Fish/Tofu + stir-fried bell peppers/mushrooms + ½ cup quinoa.
• Sun:
  - Breakfast: Oatmeal pancake (½ cup oats blended with 3 egg whites and ½ banana).
  - Lunch: Leftover chicken/paneer/tofu stir-fry paired with a large side salad.
  - Snack: Handful of roasted makhana (fox nuts) or walnuts.
  - Dinner: Light clear vegetable soup with 100g chunks of lean chicken or tofu."
40,26.54857126438969,1,"🏠 7-DAY HOME WORKOUT PLAN (Muscle Hypertrophy):
• Mon: Push Day (Chest/Shoulders/Triceps) - Decline Push-ups, Pike Push-ups, Chair Dips, Diamond Push-ups (3 sets x 12-15 reps).
• Tue: Pull Day (Back/Biceps) - Doorframe Rows, Bed-sheet Pullups, Superman Extensions, Towel Bicep Curls (3 sets x 15 reps).
• Wed: Leg Day (Quadriceps/Glutes) - Bulgarians Split Squats, Calf Raises, Walking Lunges, Wall Sits (4 sets x 15 reps).
• Thu: Active Recovery - Light stretching and core work.
• Fri: Full Body Strength Overload - Standard Push-ups, Bodyweight Squats, Pike Push-ups, Glute Bridges.
• Sat: Core & Arm Definition - Plank-to-Pushups, Bicycle Crunches, Chair Dips, Plank Holds.
• Sun: Complete Rest Day for Muscle Repair.

🥗 MON-TO-SUN CALORIC SURPLUS DIET PLAN:
• Mon-Wed:
  - Breakfast: 3 Whole Eggs + 2 slices Whole Wheat Toast + 1 Banana with 2 tbsp Peanut Butter.
  - Lunch: 200g Grilled Chicken/Paneer + 1.5 cups Boiled White Rice + 1 cup Dal.
  - Snack: 1 cup Milk/Soy Milk + 1 scoop Whey Protein + 1 cup Oats blended.
  - Dinner: 150g Fish or Tofu + 1 large Sweet Potato + Stir-fried veggies.
• Thu-Sat:
  - Breakfast: 1.5 cups Oatmeal cooked in milk + 1 tbsp honey + 15 chopped almonds.
  - Lunch: 200g Fish or Mixed Bean Curry + 1.5 cups Brown Rice + 1 cup Curd.
  - Snack: 2 boiled eggs (or 100g roasted paneer) + 1 cup Sprouts salad.
  - Dinner: 200g Lean Chicken Breast or Soya Chunks + 2 Chapatis + Mixed vegetable sabzi.
• Sun:
  - Breakfast: Paneer Bhurji (150g) with 2 multi-grain Rotis.
  - Lunch: Heavy Rice and Lentil Bowl (Khichdi) topped with 1 tbsp ghee + 150g chicken or tofu side.
  - Snack: Handful of mixed dry fruits (cashews, raisins, walnuts).
  - Dinner: High-protein paneer or chicken roll wrap using whole wheat flatbread."
28,39.75853283354443,1,"🏠 7-DAY HOME WORKOUT PLAN (Muscle Hypertrophy):
• Mon: Push Day (Chest/Shoulders/Triceps) - Decline Push-ups, Pike Push-ups, Chair Dips, Diamond Push-ups (3 sets x 12-15 reps).
• Tue: Pull Day (Back/Biceps) - Doorframe Rows, Bed-sheet Pullups, Superman Extensions, Towel Bicep Curls (3 sets x 15 reps).
• Wed: Leg Day (Quadriceps/Glutes) - Bulgarians Split Squats, Calf Raises, Walking Lunges, Wall Sits (4 sets x 15 reps).
• Thu: Active Recovery - Light stretching and core work.
• Fri: Full Body Strength Overload - Standard Push-ups, Bodyweight Squats, Pike Push-ups, Glute Bridges.
• Sat: Core & Arm Definition - Plank-to-Pushups, Bicycle Crunches, Chair Dips, Plank Holds.
• Sun: Complete Rest Day for Muscle Repair.

🥗 MON-TO-SUN CALORIC SURPLUS DIET PLAN:
• Mon-Wed:
  - Breakfast: 3 Whole Eggs + 2 slices Whole Wheat Toast + 1 Banana with 2 tbsp Peanut Butter.
  - Lunch: 200g Grilled Chicken/Paneer + 1.5 cups Boiled White Rice + 1 cup Dal.
  - Snack: 1 cup Milk/Soy Milk + 1 scoop Whey Protein + 1 cup Oats blended.
  - Dinner: 150g Fish or Tofu + 1 large Sweet Potato + Stir-fried veggies.
• Thu-Sat:
  - Breakfast: 1.5 cups Oatmeal cooked in milk + 1 tbsp honey + 15 chopped almonds.
  - Lunch: 200g Fish or Mixed Bean Curry + 1.5 cups Brown Rice + 1 cup Curd.
  - Snack: 2 boiled eggs (or 100g roasted paneer) + 1 cup Sprouts salad.
  - Dinner: 200g Lean Chicken Breast or Soya Chunks + 2 Chapatis + Mixed vegetable sabzi.
• Sun:
  - Breakfast: Paneer Bhurji (150g) with 2 multi-grain Rotis.
  - Lunch: Heavy Rice and Lentil Bowl (Khichdi) topped with 1 tbsp ghee + 150g chicken or tofu side.
  - Snack: Handful of mixed dry fruits (cashews, raisins, walnuts).
  - Dinner: High-protein paneer or chicken roll wrap using whole wheat flatbread."
